s,a,r,s'
80,1,-3,90
7,1,-4,17
76,3,8,75
76,3,8,75
76,1,2,86
93,4,3,94
38,4,9,39
34,1,8,44
67,2,7,57
89,1,5,99
37,3,6,36
66,2,0,56
71,4,9,72
75,1,-8,85
63,2,8,53
64,1,0,74
8,4,5,9
73,4,0,74
68,1,-1,78
18,2,-5,8
98,3,3,97
25,4,-7,26
24,2,3,14
61,2,7,51
7,4,-5,8
73,3,9,72
82,3,-8,81
78,3,5,77
48,1,1,58
77,1,-2,87
99,2,2,89
69,4,-6,70
69,3,-4,68
38,1,-4,48
3,3,-5,2
33,4,-6,34
76,1,2,86
92,4,5,93
29,3,-7,28
48,1,1,58
47,1,7,57
16,1,-7,26
40,2,-10,30
33,3,-8,32
98,3,3,97
22,1,-8,32
5,3,0,4
53,4,8,54
29,1,9,39
73,1,-1,83
15,2,8,5
72,4,2,73
79,2,3,69
24,3,4,23
31,2,1,21
69,4,-6,70
82,2,9,72
76,3,8,75
96,3,-4,95
64,4,-10,65
43,1,8,53
92,2,4,82
44,1,8,54
42,2,-8,32
7,1,-4,17
99,2,2,89
30,1,-5,40
80,1,-3,90
73,3,9,72
74,3,2,73
7,1,-4,17
63,3,7,62
37,2,-7,27
28,2,4,18
68,1,-1,78
42,2,-8,32
59,2,-8,49
35,4,6,36
88,4,2,89
73,4,0,74
69,4,-6,70
38,4,9,39
38,4,9,39
9,3,-5,8
50,2,-5,40
80,2,-6,70
37,2,-7,27
80,3,5,79
79,2,3,69
81,2,-8,71
67,1,5,77
13,2,-10,3
55,1,-10,65
52,3,7,51
38,4,9,39
98,4,5,99
64,1,0,74
60,1,-6,70
55,4,0,56
96,3,-4,95
93,4,3,94
53,2,5,43
26,4,-7,27
54,1,-10,64
32,1,4,42
25,2,-2,15
15,2,8,5
39,2,-9,29
90,3,2,89
1,4,-5,2
6,3,8,5
16,1,-7,26
22,4,4,23
20,2,-9,10
84,1,3,94
24,3,4,23
91,4,1,92
70,2,6,60
96,2,2,86
76,2,-3,66
13,1,4,23
48,1,1,58
68,2,1,58
22,4,4,23
79,1,2,89
2,3,6,1
78,3,5,77
28,1,3,38
48,4,-8,49
27,3,-7,26
13,3,-1,12
7,4,-5,8
65,1,8,75
72,1,4,82
80,1,-3,90
49,4,6,50
34,1,8,44
85,4,2,86
42,4,5,43
67,3,-3,66
89,3,1,88
1,4,-5,2
75,3,0,74
44,3,5,43
79,4,-9,80
60,3,1,59
66,3,-10,65
71,1,-8,81
86,1,-1,96
86,4,-2,87
69,1,5,79
6,3,8,5
51,4,-3,52
87,4,1,88
64,1,0,74
61,4,7,62
66,2,0,56
48,4,-8,49
70,3,3,69
34,4,3,35
87,4,1,88
37,4,3,38
90,1,-6,100
15,4,-7,16
18,1,-7,28
63,4,-10,64
85,1,-4,95
27,3,-7,26
9,1,5,19
53,3,-3,52
56,1,-3,66
54,4,1,55
29,1,9,39
79,2,3,69
22,2,-1,12
78,2,-4,68
95,3,3,94
21,2,-8,11
85,4,2,86
98,4,5,99
11,4,-1,12
17,1,-7,27
58,1,-4,68
88,1,3,98
76,3,8,75
23,1,3,33
26,2,-7,16
76,2,-3,66
89,3,1,88
44,1,8,54
44,1,8,54
45,3,8,44
26,2,-7,16
38,2,-7,28
28,4,-9,29
6,1,-7,16
19,1,-9,29
3,1,-1,13
21,4,-8,22
67,4,-4,68
57,4,1,58
14,1,-7,24
4,1,3,14
24,3,4,23
95,2,-8,85
81,4,4,82
80,3,5,79
32,2,-8,22
59,4,6,60
29,3,-7,28
18,4,5,19
88,4,2,89
52,2,4,42
44,4,0,45
15,2,8,5
85,1,-4,95
88,3,-2,87
81,2,-8,71
90,2,-9,80
38,2,-7,28
39,3,3,38
4,3,-10,3
28,2,4,18
44,1,8,54
5,1,-2,15
66,2,0,56
89,3,1,88
74,1,-8,84
72,3,-8,71
12,3,-8,11
85,2,8,75
19,4,5,20
7,4,-5,8
3,4,0,4
33,3,-8,32
12,2,-5,2
63,3,7,62
42,1,-3,52
66,3,-10,65
19,2,5,9
30,1,-5,40
36,4,-1,37
75,1,-8,85
93,2,-1,83
5,3,0,4
68,2,1,58
18,4,5,19
97,2,-2,87
90,3,2,89
36,2,-7,26
92,2,4,82
53,2,5,43
19,3,4,18
44,3,5,43
49,2,9,39
87,1,3,97
33,1,5,43
6,3,8,5
62,1,9,72
46,3,0,45
9,4,-9,10
97,4,3,98
24,2,3,14
42,2,-8,32
18,2,-5,8
33,2,4,23
94,4,-4,95
5,3,0,4
49,3,-4,48
78,1,1,88
73,2,7,63
88,1,3,98
34,4,3,35
31,2,1,21
88,2,-1,78
17,4,4,18
39,4,-5,40
10,3,5,9
64,1,0,74
27,3,-7,26
83,3,4,82
75,3,0,74
32,4,3,33
78,1,1,88
99,3,3,98
22,4,4,23
24,3,4,23
89,3,1,88
24,4,5,25
81,2,-8,71
72,3,-8,71
82,1,1,92
46,2,6,36
74,1,-8,84
19,3,4,18
99,3,3,98
54,1,-10,64
18,1,-7,28
87,2,5,77
81,1,-2,91
94,3,5,93
14,3,-1,13
90,1,-6,100
46,4,1,47
76,2,-3,66
61,1,-8,71
20,3,5,19
97,2,-2,87
19,1,-9,29
15,3,3,14
39,3,3,38
39,2,-9,29
27,2,-4,17
49,1,1,59
18,1,-7,28
86,4,-2,87
89,4,-3,90
18,2,-5,8
98,3,3,97
13,1,4,23
45,1,1,55
12,4,-1,13
81,1,-2,91
96,3,-4,95
53,3,-3,52
73,2,7,63
31,2,1,21
59,4,6,60
70,1,-9,80
61,1,-8,71
11,2,6,1
64,1,0,74
80,1,-3,90
5,1,-2,15
65,1,8,75
87,1,3,97
75,1,-8,85
41,2,6,31
10,1,5,20
95,4,-1,96
77,1,-2,87
56,1,-3,66
58,3,7,57
55,2,0,45
46,1,0,56
72,1,4,82
57,4,1,58
43,1,8,53
71,2,1,61
9,3,-5,8
94,3,5,93
59,2,-8,49
20,2,-9,10
48,1,1,58
23,3,-8,22
18,2,-5,8
53,4,8,54
37,1,1,47
49,1,1,59
55,2,0,45
40,1,6,50
15,1,5,25
62,1,9,72
93,4,3,94
73,3,9,72
99,4,-6,100
24,2,3,14
79,4,-9,80
40,2,-10,30
52,4,8,53
82,2,9,72
57,3,0,56
40,1,6,50
35,3,-6,34
69,4,-6,70
50,2,-5,40
92,2,4,82
25,3,-7,24
94,3,5,93
44,1,8,54
76,4,5,77
94,4,-4,95
75,1,-8,85
83,3,4,82
44,3,5,43
14,4,-2,15
44,1,8,54
68,2,1,58
47,3,2,46
7,3,5,6
52,2,4,42
70,1,-9,80
8,3,-3,7
94,2,-8,84
36,2,-7,26
53,4,8,54
94,3,5,93
96,2,2,86
82,1,1,92
65,4,-3,66
45,2,3,35
28,2,4,18
77,2,8,67
98,2,1,88
93,4,3,94
31,2,1,21
18,3,-4,17
61,1,-8,71
28,2,4,18
42,2,-8,32
79,1,2,89
13,2,-10,3
59,2,-8,49
73,4,0,74
62,3,1,61
35,2,5,25
76,1,2,86
63,4,-10,64
35,3,-6,34
35,3,-6,34
65,1,8,75
8,1,4,18
66,4,8,67
33,4,-6,34
71,1,-8,81
9,4,-9,10
44,4,0,45
28,3,-7,27
98,4,5,99
20,3,5,19
25,1,3,35
18,3,-4,17
42,1,-3,52
8,3,-3,7
20,1,-10,30
48,4,-8,49
11,1,1,21
34,3,3,33
81,1,-2,91
96,2,2,86
89,2,5,79
46,2,6,36
85,1,-4,95
83,2,2,73
60,2,6,50
61,4,7,62
83,2,2,73
48,4,-8,49
64,2,8,54
62,4,7,63
48,1,1,58
82,2,9,72
62,1,9,72
65,2,1,55
56,3,1,55
96,2,2,86
15,4,-7,16
87,2,5,77
87,4,1,88
25,2,-2,15
24,3,4,23
30,3,-9,29
42,2,-8,32
15,2,8,5
94,4,-4,95
35,4,6,36
76,3,8,75
64,4,-10,65
34,3,3,33
85,2,8,75
28,4,-9,29
19,4,5,20
68,2,1,58
29,2,5,19
53,3,-3,52
49,4,6,50
81,4,4,82
55,1,-10,65
82,2,9,72
18,2,-5,8
23,3,-8,22
80,1,-3,90
5,1,-2,15
59,4,6,60
11,4,-1,12
53,3,-3,52
18,3,-4,17
95,3,3,94
39,2,-9,29
44,2,-6,34
82,4,-1,83
49,3,-4,48
4,4,8,5
89,2,5,79
8,4,5,9
87,1,3,97
34,3,3,33
34,2,-7,24
42,3,2,41
89,2,5,79
14,2,0,4
75,2,-10,65
18,4,5,19
23,1,3,33
86,1,-1,96
39,1,-8,49
69,3,-4,68
24,3,4,23
7,3,5,6
95,4,-1,96
44,1,8,54
49,3,-4,48
38,2,-7,28
5,4,5,6
58,1,-4,68
88,4,2,89
72,2,7,62
50,3,-8,49
86,4,-2,87
6,4,-3,7
56,4,7,57
79,3,-1,78
43,4,8,44
97,3,-1,96
35,1,0,45
37,2,-7,27
58,4,1,59
66,2,0,56
21,4,-8,22
49,1,1,59
70,2,6,60
34,2,-7,24
36,1,2,46
97,3,-1,96
75,4,-5,76
34,4,3,35
97,2,-2,87
51,1,1,61
95,4,-1,96
75,3,0,74
26,3,5,25
23,4,-7,24
83,1,5,93
61,4,7,62
65,1,8,75
24,1,-6,34
8,4,5,9
54,1,-10,64
78,3,5,77
30,3,-9,29
20,2,-9,10
26,2,-7,16
6,1,-7,16
29,2,5,19
40,2,-10,30
46,4,1,47
48,2,3,38
73,1,-1,83
16,4,-4,17
84,1,3,94
96,4,3,97
95,4,-1,96
30,3,-9,29
81,4,4,82
42,4,5,43
29,4,-10,30
76,4,5,77
28,1,3,38
100,2,-3,90
46,3,0,45
75,3,0,74
6,3,8,5
21,4,-8,22
53,1,7,63
53,1,7,63
24,3,4,23
79,1,2,89
11,1,1,21
75,2,-10,65
58,2,-4,48
78,4,5,79
17,1,-7,27
63,1,2,73
55,4,0,56
98,3,3,97
35,1,0,45
50,3,-8,49
49,3,-4,48
44,2,-6,34
64,2,8,54
8,4,5,9
27,2,-4,17
97,3,-1,96
71,2,1,61
39,4,-5,40
34,1,8,44
96,3,-4,95
4,1,3,14
99,4,-6,100
38,2,-7,28
57,4,1,58
16,3,-2,15
65,3,-10,64
17,2,-3,7
72,2,7,62
28,3,-7,27
29,3,-7,28
16,1,-7,26
9,4,-9,10
91,2,-8,81
7,4,-5,8
96,2,2,86
5,3,0,4
83,1,5,93
27,4,-7,28
74,1,-8,84
14,3,-1,13
38,1,-4,48
42,1,-3,52
42,1,-3,52
14,4,-2,15
14,2,0,4
53,4,8,54
49,2,9,39
45,4,2,46
79,1,2,89
72,1,4,82
44,2,-6,34
87,4,1,88
67,2,7,57
44,4,0,45
24,4,5,25
49,1,1,59
22,2,-1,12
62,3,1,61
55,1,-10,65
71,2,1,61
9,1,5,19
63,2,8,53
23,1,3,33
6,3,8,5
32,3,6,31
11,2,6,1
18,4,5,19
62,2,-3,52
67,2,7,57
84,1,3,94
9,4,-9,10
56,1,-3,66
1,1,-8,11
7,4,-5,8
19,1,-9,29
1,1,-8,11
18,1,-7,28
61,2,7,51
46,2,6,36
17,3,-7,16
35,1,0,45
12,1,-8,22
21,1,6,31
45,3,8,44
6,3,8,5
48,1,1,58
43,2,3,33
77,3,-5,76
83,4,-8,84
96,3,-4,95
49,4,6,50
73,1,-1,83
18,4,5,19
75,3,0,74
90,1,-6,100
43,1,8,53
76,3,8,75
56,2,2,46
43,3,4,42
13,2,-10,3
77,3,-5,76
69,1,5,79
14,3,-1,13
48,4,-8,49
74,3,2,73
30,2,5,20
15,1,5,25
73,1,-1,83
9,4,-9,10
33,3,-8,32
47,4,-4,48
74,1,-8,84
96,4,3,97
13,2,-10,3
85,2,8,75
78,4,5,79
74,1,-8,84
76,3,8,75
32,2,-8,22
76,3,8,75
40,3,9,39
29,2,5,19
20,2,-9,10
21,2,-8,11
77,3,-5,76
20,2,-9,10
68,1,-1,78
44,3,5,43
59,3,1,58
90,2,-9,80
64,2,8,54
60,3,1,59
39,2,-9,29
84,4,-8,85
76,1,2,86
31,2,1,21
20,3,5,19
99,3,3,98
3,1,-1,13
18,1,-7,28
21,2,-8,11
90,3,2,89
37,4,3,38
94,2,-8,84
54,1,-10,64
88,3,-2,87
95,3,3,94
4,1,3,14
51,1,1,61
62,1,9,72
77,3,-5,76
97,4,3,98
67,2,7,57
15,4,-7,16
32,3,6,31
63,4,-10,64
86,1,-1,96
13,3,-1,12
76,2,-3,66
47,1,7,57
22,4,4,23
36,3,3,35
46,2,6,36
88,1,3,98
68,2,1,58
27,4,-7,28
57,2,1,47
12,3,-8,11
65,4,-3,66
14,2,0,4
19,4,5,20
83,3,4,82
57,1,8,67
6,3,8,5
75,2,-10,65
17,2,-3,7
41,1,7,51
53,2,5,43
75,4,-5,76
31,4,-8,32
1,4,-5,2
55,2,0,45
10,1,5,20
67,2,7,57
4,3,-10,3
30,1,-5,40
73,4,0,74
67,3,-3,66
75,3,0,74
78,1,1,88
70,3,3,69
35,2,5,25
82,4,-1,83
54,1,-10,64
96,4,3,97
9,4,-9,10
12,4,-1,13
29,3,-7,28
50,3,-8,49
74,3,2,73
39,1,-8,49
33,1,5,43
8,4,5,9
77,2,8,67
84,1,3,94
13,3,-1,12
37,4,3,38
90,2,-9,80
66,3,-10,65
8,1,4,18
42,3,2,41
4,1,3,14
44,4,0,45
100,3,5,99
43,2,3,33
88,3,-2,87
90,3,2,89
87,3,2,86
37,1,1,47
63,1,2,73
81,4,4,82
45,4,2,46
37,1,1,47
18,2,-5,8
26,4,-7,27
77,1,-2,87
48,4,-8,49
73,2,7,63
34,3,3,33
18,4,5,19
34,2,-7,24
74,3,2,73
5,4,5,6
40,3,9,39
39,2,-9,29
56,3,1,55
89,1,5,99
87,3,2,86
51,1,1,61
88,4,2,89
37,3,6,36
9,4,-9,10
70,3,3,69
48,4,-8,49
97,3,-1,96
52,1,7,62
51,2,2,41
64,1,0,74
79,1,2,89
80,3,5,79
14,1,-7,24
52,4,8,53
37,3,6,36
55,3,8,54
56,2,2,46
64,3,7,63
35,3,-6,34
30,2,5,20
63,1,2,73
32,1,4,42
44,3,5,43
20,2,-9,10
13,2,-10,3
99,3,3,98
33,3,-8,32
8,3,-3,7
45,3,8,44
42,2,-8,32
27,1,-1,37
90,1,-6,100
12,1,-8,22
38,1,-4,48
43,4,8,44
55,3,8,54
12,1,-8,22
14,2,0,4
8,3,-3,7
72,4,2,73
47,2,-1,37
62,2,-3,52
5,3,0,4
10,3,5,9
42,2,-8,32
79,4,-9,80
100,3,5,99
81,4,4,82
41,2,6,31
2,3,6,1
19,2,5,9
45,2,3,35
1,1,-8,11
90,2,-9,80
47,1,7,57
60,3,1,59
25,1,3,35
33,3,-8,32
13,4,3,14
3,1,-1,13
79,2,3,69
43,1,8,53
64,1,0,74
47,2,-1,37
56,4,7,57
57,3,0,56
68,2,1,58
92,4,5,93
68,4,3,69
24,4,5,25
76,1,2,86
54,2,8,44
93,3,1,92
85,4,2,86
11,4,-1,12
63,3,7,62
56,1,-3,66
20,3,5,19
56,3,1,55
13,4,3,14
1,4,-5,2
41,4,4,42
65,1,8,75
68,1,-1,78
52,3,7,51
20,1,-10,30
99,4,-6,100
6,4,-3,7
55,3,8,54
45,3,8,44
41,4,4,42
11,4,-1,12
60,3,1,59
24,2,3,14
74,2,-10,64
15,2,8,5
97,4,3,98
86,3,-8,85
93,4,3,94
31,2,1,21
68,2,1,58
26,1,6,36
47,2,-1,37
81,4,4,82
70,2,6,60
19,1,-9,29
33,2,4,23
17,4,4,18
53,3,-3,52
43,2,3,33
46,2,6,36
99,3,3,98
17,4,4,18
5,3,0,4
64,2,8,54
18,2,-5,8
100,3,5,99
68,3,8,67
35,1,0,45
11,2,6,1
39,3,3,38
40,2,-10,30
29,4,-10,30
53,1,7,63
52,2,4,42
16,1,-7,26
80,3,5,79
57,3,0,56
4,4,8,5
15,4,-7,16
48,3,1,47
39,4,-5,40
86,2,-5,76
41,1,7,51
74,1,-8,84
93,3,1,92
95,2,-8,85
9,4,-9,10
11,1,1,21
74,3,2,73
79,3,-1,78
32,2,-8,22
8,3,-3,7
31,2,1,21
34,2,-7,24
43,4,8,44
37,1,1,47
85,3,-8,84
73,1,-1,83
97,4,3,98
71,4,9,72
19,1,-9,29
