s,a,r,s'
66,2,0,56
82,1,1,92
49,1,1,59
5,3,0,4
13,3,-1,12
8,3,-3,7
92,3,-2,91
8,4,5,9
66,4,8,67
44,4,0,45
25,3,-7,24
16,4,-4,17
12,4,-1,13
12,3,-8,11
31,1,2,41
33,4,-6,34
4,3,-10,3
19,1,-9,29
85,4,2,86
26,4,-7,27
81,2,-8,71
89,1,5,99
44,2,-6,34
67,1,5,77
72,2,7,62
22,1,-8,32
74,4,8,75
76,1,2,86
7,1,-4,17
66,1,-5,76
52,2,4,42
39,2,-9,29
35,1,0,45
47,2,-1,37
56,4,7,57
41,1,7,51
63,4,-10,64
50,1,6,60
57,2,1,47
57,3,0,56
36,4,-1,37
55,3,8,54
19,2,5,9
46,4,1,47
25,1,3,35
48,4,-8,49
29,4,-10,30
77,1,-2,87
45,1,1,55
46,1,0,56
17,1,-7,27
55,1,-10,65
7,3,5,6
84,1,3,94
41,4,4,42
27,4,-7,28
72,1,4,82
65,1,8,75
17,2,-3,7
64,2,8,54
23,4,-7,24
81,4,4,82
74,3,2,73
77,4,-1,78
32,2,-8,22
66,2,0,56
65,4,-3,66
48,2,3,38
16,2,5,6
25,3,-7,24
94,2,-8,84
92,2,4,82
86,2,-5,76
67,1,5,77
19,2,5,9
97,4,3,98
94,3,5,93
32,3,6,31
19,3,4,18
58,4,1,59
64,3,7,63
36,1,2,46
61,2,7,51
90,3,2,89
44,1,8,54
39,3,3,38
94,3,5,93
75,2,-10,65
41,4,4,42
62,3,1,61
34,1,8,44
40,2,-10,30
77,4,-1,78
20,2,-9,10
27,2,-4,17
44,3,5,43
78,1,1,88
57,1,8,67
13,4,3,14
52,2,4,42
16,2,5,6
67,3,-3,66
57,3,0,56
14,4,-2,15
62,4,7,63
5,4,5,6
71,4,9,72
65,2,1,55
94,2,-8,84
1,1,-8,11
17,4,4,18
37,2,-7,27
73,2,7,63
68,2,1,58
15,2,8,5
30,3,-9,29
100,2,-3,90
37,2,-7,27
2,1,-1,12
83,4,-8,84
61,4,7,62
96,4,3,97
46,1,0,56
57,2,1,47
49,1,1,59
56,1,-3,66
64,2,8,54
5,4,5,6
83,3,4,82
17,4,4,18
14,4,-2,15
41,1,7,51
88,4,2,89
85,4,2,86
39,3,3,38
52,2,4,42
80,1,-3,90
36,4,-1,37
26,4,-7,27
98,3,3,97
58,3,7,57
13,1,4,23
77,1,-2,87
34,1,8,44
47,1,7,57
17,3,-7,16
6,1,-7,16
2,1,-1,12
92,4,5,93
46,3,0,45
68,4,3,69
65,2,1,55
64,2,8,54
14,3,-1,13
40,3,9,39
84,1,3,94
82,1,1,92
56,4,7,57
24,2,3,14
85,2,8,75
84,3,-1,83
47,3,2,46
64,2,8,54
67,3,-3,66
84,3,-1,83
24,3,4,23
39,3,3,38
28,3,-7,27
58,3,7,57
21,1,6,31
7,1,-4,17
82,3,-8,81
51,1,1,61
25,2,-2,15
87,4,1,88
94,2,-8,84
98,4,5,99
31,1,2,41
27,1,-1,37
20,3,5,19
78,4,5,79
23,1,3,33
88,4,2,89
27,1,-1,37
41,1,7,51
49,1,1,59
58,4,1,59
31,1,2,41
15,4,-7,16
57,2,1,47
43,4,8,44
13,4,3,14
13,3,-1,12
48,3,1,47
72,1,4,82
7,1,-4,17
85,3,-8,84
62,2,-3,52
32,3,6,31
3,4,0,4
42,4,5,43
44,2,-6,34
82,3,-8,81
16,2,5,6
23,1,3,33
53,1,7,63
38,1,-4,48
45,2,3,35
82,1,1,92
90,2,-9,80
38,3,-1,37
82,1,1,92
27,4,-7,28
24,1,-6,34
11,2,6,1
59,1,3,69
62,3,1,61
55,1,-10,65
17,1,-7,27
65,2,1,55
18,3,-4,17
64,3,7,63
99,2,2,89
27,2,-4,17
42,4,5,43
28,1,3,38
64,2,8,54
65,4,-3,66
25,1,3,35
82,1,1,92
53,3,-3,52
90,1,-6,100
42,4,5,43
36,2,-7,26
75,4,-5,76
29,3,-7,28
89,3,1,88
90,1,-6,100
79,3,-1,78
5,1,-2,15
56,3,1,55
85,3,-8,84
92,2,4,82
69,4,-6,70
62,1,9,72
60,2,6,50
67,2,7,57
36,4,-1,37
83,3,4,82
49,4,6,50
76,2,-3,66
37,3,6,36
17,2,-3,7
91,4,1,92
8,1,4,18
16,3,-2,15
63,2,8,53
41,4,4,42
94,3,5,93
68,4,3,69
38,4,9,39
85,4,2,86
61,1,-8,71
44,4,0,45
62,1,9,72
13,3,-1,12
74,3,2,73
58,2,-4,48
100,3,5,99
56,2,2,46
88,1,3,98
55,3,8,54
99,2,2,89
2,1,-1,12
89,1,5,99
93,4,3,94
100,3,5,99
54,2,8,44
30,3,-9,29
83,2,2,73
22,4,4,23
89,3,1,88
41,1,7,51
65,2,1,55
34,3,3,33
60,1,-6,70
44,1,8,54
52,3,7,51
38,4,9,39
71,1,-8,81
13,4,3,14
33,3,-8,32
16,2,5,6
73,4,0,74
34,3,3,33
64,1,0,74
31,1,2,41
83,2,2,73
74,3,2,73
42,1,-3,52
73,2,7,63
28,4,-9,29
12,1,-8,22
53,3,-3,52
52,3,7,51
47,1,7,57
94,4,-4,95
50,3,-8,49
90,1,-6,100
60,2,6,50
43,1,8,53
32,1,4,42
65,4,-3,66
18,4,5,19
89,1,5,99
44,4,0,45
16,1,-7,26
60,1,-6,70
11,1,1,21
58,2,-4,48
95,3,3,94
16,4,-4,17
79,4,-9,80
55,1,-10,65
42,3,2,41
34,4,3,35
22,1,-8,32
54,2,8,44
45,2,3,35
82,1,1,92
38,3,-1,37
26,1,6,36
24,3,4,23
14,1,-7,24
95,2,-8,85
64,4,-10,65
4,1,3,14
53,3,-3,52
15,1,5,25
39,1,-8,49
35,3,-6,34
45,3,8,44
45,1,1,55
97,2,-2,87
58,1,-4,68
34,2,-7,24
3,3,-5,2
67,2,7,57
58,4,1,59
63,4,-10,64
96,2,2,86
66,4,8,67
76,3,8,75
25,1,3,35
26,3,5,25
25,1,3,35
15,1,5,25
11,2,6,1
34,1,8,44
46,3,0,45
53,3,-3,52
42,4,5,43
34,3,3,33
52,1,7,62
66,4,8,67
54,2,8,44
34,3,3,33
1,4,-5,2
20,2,-9,10
50,2,-5,40
79,1,2,89
99,4,-6,100
19,3,4,18
71,2,1,61
20,1,-10,30
62,1,9,72
35,2,5,25
16,2,5,6
83,3,4,82
32,2,-8,22
22,1,-8,32
98,3,3,97
54,1,-10,64
89,4,-3,90
27,3,-7,26
60,2,6,50
17,1,-7,27
49,4,6,50
96,3,-4,95
49,2,9,39
81,1,-2,91
76,2,-3,66
98,2,1,88
81,1,-2,91
64,4,-10,65
52,4,8,53
83,4,-8,84
24,2,3,14
50,2,-5,40
5,1,-2,15
68,1,-1,78
43,2,3,33
15,4,-7,16
22,4,4,23
76,4,5,77
66,2,0,56
76,1,2,86
21,2,-8,11
29,2,5,19
71,4,9,72
36,4,-1,37
22,4,4,23
46,3,0,45
41,1,7,51
34,1,8,44
86,1,-1,96
31,4,-8,32
83,1,5,93
68,4,3,69
24,4,5,25
18,2,-5,8
46,4,1,47
25,4,-7,26
43,1,8,53
14,2,0,4
80,1,-3,90
84,4,-8,85
28,2,4,18
32,2,-8,22
60,2,6,50
30,1,-5,40
32,1,4,42
71,2,1,61
16,1,-7,26
64,4,-10,65
3,4,0,4
83,3,4,82
85,1,-4,95
9,1,5,19
65,1,8,75
11,2,6,1
83,4,-8,84
49,4,6,50
83,3,4,82
97,3,-1,96
70,3,3,69
51,1,1,61
96,3,-4,95
45,4,2,46
67,2,7,57
28,2,4,18
86,1,-1,96
41,4,4,42
52,3,7,51
49,4,6,50
66,3,-10,65
73,2,7,63
90,1,-6,100
38,2,-7,28
82,1,1,92
33,3,-8,32
50,1,6,60
70,1,-9,80
66,3,-10,65
63,2,8,53
21,2,-8,11
16,4,-4,17
79,3,-1,78
78,1,1,88
11,4,-1,12
59,3,1,58
58,3,7,57
78,1,1,88
54,4,1,55
44,3,5,43
49,2,9,39
22,3,1,21
40,1,6,50
7,3,5,6
92,4,5,93
66,2,0,56
11,4,-1,12
97,4,3,98
90,1,-6,100
52,4,8,53
30,3,-9,29
86,3,-8,85
17,3,-7,16
63,1,2,73
17,4,4,18
58,4,1,59
55,3,8,54
26,1,6,36
29,3,-7,28
68,4,3,69
65,1,8,75
68,4,3,69
90,1,-6,100
67,4,-4,68
61,2,7,51
69,1,5,79
93,2,-1,83
81,4,4,82
72,4,2,73
99,2,2,89
27,2,-4,17
54,3,8,53
6,3,8,5
50,1,6,60
32,4,3,33
47,4,-4,48
83,2,2,73
4,4,8,5
54,1,-10,64
11,4,-1,12
72,4,2,73
58,4,1,59
93,4,3,94
14,4,-2,15
1,1,-8,11
29,3,-7,28
51,4,-3,52
26,4,-7,27
85,2,8,75
51,1,1,61
38,2,-7,28
34,3,3,33
36,4,-1,37
16,4,-4,17
46,3,0,45
25,1,3,35
87,4,1,88
66,2,0,56
50,1,6,60
83,3,4,82
62,1,9,72
77,4,-1,78
2,4,-10,3
50,1,6,60
94,3,5,93
93,2,-1,83
65,4,-3,66
21,4,-8,22
38,4,9,39
19,2,5,9
7,1,-4,17
9,4,-9,10
58,1,-4,68
48,3,1,47
57,2,1,47
87,4,1,88
31,4,-8,32
86,3,-8,85
76,1,2,86
34,1,8,44
17,4,4,18
83,3,4,82
85,3,-8,84
44,3,5,43
26,3,5,25
44,2,-6,34
76,1,2,86
19,1,-9,29
28,2,4,18
42,4,5,43
68,1,-1,78
65,4,-3,66
49,3,-4,48
37,3,6,36
76,3,8,75
2,3,6,1
85,4,2,86
76,2,-3,66
45,1,1,55
50,2,-5,40
48,4,-8,49
87,3,2,86
19,2,5,9
91,2,-8,81
45,2,3,35
79,1,2,89
81,4,4,82
15,3,3,14
92,3,-2,91
83,1,5,93
87,1,3,97
7,3,5,6
89,3,1,88
98,3,3,97
84,2,0,74
64,4,-10,65
28,1,3,38
26,4,-7,27
49,2,9,39
63,3,7,62
88,4,2,89
87,4,1,88
95,3,3,94
95,2,-8,85
92,4,5,93
37,2,-7,27
79,2,3,69
80,3,5,79
32,1,4,42
79,4,-9,80
36,2,-7,26
2,4,-10,3
38,3,-1,37
93,4,3,94
25,2,-2,15
38,4,9,39
57,1,8,67
31,1,2,41
4,1,3,14
52,3,7,51
37,2,-7,27
63,2,8,53
53,1,7,63
12,2,-5,2
66,1,-5,76
58,1,-4,68
98,2,1,88
85,2,8,75
17,2,-3,7
24,3,4,23
27,1,-1,37
28,2,4,18
82,3,-8,81
60,2,6,50
94,3,5,93
74,1,-8,84
33,1,5,43
3,1,-1,13
73,3,9,72
92,4,5,93
32,3,6,31
18,3,-4,17
46,4,1,47
43,1,8,53
14,3,-1,13
52,3,7,51
56,2,2,46
95,4,-1,96
83,2,2,73
33,4,-6,34
32,2,-8,22
49,2,9,39
19,4,5,20
46,2,6,36
3,1,-1,13
49,2,9,39
30,3,-9,29
58,4,1,59
68,3,8,67
12,3,-8,11
82,1,1,92
17,3,-7,16
81,2,-8,71
77,2,8,67
23,3,-8,22
83,1,5,93
38,3,-1,37
19,1,-9,29
19,2,5,9
57,4,1,58
62,3,1,61
91,4,1,92
86,2,-5,76
92,2,4,82
43,1,8,53
64,4,-10,65
68,3,8,67
57,2,1,47
84,1,3,94
86,4,-2,87
61,4,7,62
60,3,1,59
32,4,3,33
28,4,-9,29
82,3,-8,81
32,2,-8,22
27,2,-4,17
9,3,-5,8
25,1,3,35
87,4,1,88
80,2,-6,70
59,2,-8,49
42,1,-3,52
12,1,-8,22
62,1,9,72
66,4,8,67
8,1,4,18
44,2,-6,34
72,1,4,82
78,2,-4,68
57,4,1,58
20,1,-10,30
19,3,4,18
16,4,-4,17
64,2,8,54
39,3,3,38
57,3,0,56
68,1,-1,78
77,1,-2,87
50,3,-8,49
43,2,3,33
26,3,5,25
83,4,-8,84
65,3,-10,64
84,2,0,74
65,4,-3,66
79,3,-1,78
62,3,1,61
85,4,2,86
2,1,-1,12
33,4,-6,34
79,2,3,69
26,2,-7,16
23,4,-7,24
7,4,-5,8
58,3,7,57
59,4,6,60
9,4,-9,10
58,3,7,57
24,4,5,25
80,1,-3,90
91,2,-8,81
2,4,-10,3
46,2,6,36
58,3,7,57
18,2,-5,8
13,4,3,14
9,1,5,19
30,3,-9,29
44,4,0,45
87,1,3,97
29,2,5,19
30,1,-5,40
24,2,3,14
22,3,1,21
91,2,-8,81
88,2,-1,78
37,2,-7,27
67,4,-4,68
28,4,-9,29
89,4,-3,90
23,3,-8,22
3,3,-5,2
66,1,-5,76
14,3,-1,13
23,2,-1,13
26,4,-7,27
80,3,5,79
13,1,4,23
14,1,-7,24
63,3,7,62
46,4,1,47
27,2,-4,17
68,1,-1,78
28,2,4,18
39,1,-8,49
65,1,8,75
46,1,0,56
11,1,1,21
77,1,-2,87
69,2,1,59
15,1,5,25
65,4,-3,66
77,4,-1,78
35,2,5,25
71,4,9,72
55,3,8,54
38,2,-7,28
35,3,-6,34
53,3,-3,52
52,1,7,62
75,4,-5,76
25,4,-7,26
21,1,6,31
33,4,-6,34
21,1,6,31
9,4,-9,10
80,1,-3,90
2,4,-10,3
14,4,-2,15
81,4,4,82
37,1,1,47
12,2,-5,2
55,3,8,54
22,3,1,21
19,3,4,18
54,4,1,55
76,3,8,75
32,4,3,33
33,1,5,43
48,4,-8,49
36,4,-1,37
59,2,-8,49
30,2,5,20
57,4,1,58
34,2,-7,24
97,2,-2,87
11,4,-1,12
68,1,-1,78
86,1,-1,96
13,4,3,14
28,3,-7,27
81,2,-8,71
23,4,-7,24
13,1,4,23
38,3,-1,37
37,4,3,38
64,4,-10,65
56,3,1,55
9,3,-5,8
83,3,4,82
53,2,5,43
27,1,-1,37
26,3,5,25
41,1,7,51
89,1,5,99
64,4,-10,65
84,3,-1,83
56,1,-3,66
94,2,-8,84
29,3,-7,28
99,2,2,89
30,2,5,20
79,4,-9,80
9,4,-9,10
35,4,6,36
64,4,-10,65
16,2,5,6
36,3,3,35
71,1,-8,81
44,2,-6,34
82,2,9,72
45,1,1,55
49,4,6,50
97,3,-1,96
3,1,-1,13
21,1,6,31
82,3,-8,81
12,4,-1,13
1,4,-5,2
93,4,3,94
31,4,-8,32
42,3,2,41
96,2,2,86
95,2,-8,85
41,1,7,51
70,1,-9,80
40,2,-10,30
38,1,-4,48
4,3,-10,3
85,4,2,86
16,4,-4,17
31,2,1,21
8,4,5,9
83,1,5,93
54,4,1,55
39,2,-9,29
72,3,-8,71
35,3,-6,34
49,1,1,59
72,2,7,62
63,1,2,73
66,3,-10,65
6,3,8,5
57,1,8,67
87,1,3,97
14,2,0,4
100,2,-3,90
94,2,-8,84
78,1,1,88
74,3,2,73
95,4,-1,96
90,3,2,89
61,2,7,51
45,3,8,44
33,1,5,43
82,3,-8,81
78,4,5,79
93,4,3,94
95,3,3,94
75,2,-10,65
19,3,4,18
88,4,2,89
8,4,5,9
78,1,1,88
66,1,-5,76
84,2,0,74
97,3,-1,96
79,4,-9,80
55,2,0,45
92,4,5,93
32,4,3,33
69,3,-4,68
6,4,-3,7
59,1,3,69
34,3,3,33
75,2,-10,65
38,2,-7,28
15,2,8,5
10,3,5,9
31,4,-8,32
20,3,5,19
72,4,2,73
72,2,7,62
54,4,1,55
14,4,-2,15
16,4,-4,17
42,2,-8,32
52,4,8,53
57,1,8,67
81,1,-2,91
63,1,2,73
51,2,2,41
1,1,-8,11
60,3,1,59
62,1,9,72
65,3,-10,64
86,3,-8,85
60,3,1,59
80,3,5,79
48,2,3,38
49,3,-4,48
76,3,8,75
59,4,6,60
18,3,-4,17
52,3,7,51
7,3,5,6
59,4,6,60
3,1,-1,13
28,1,3,38
20,2,-9,10
63,4,-10,64
74,4,8,75
81,1,-2,91
95,3,3,94
81,4,4,82
79,4,-9,80
75,1,-8,85
42,3,2,41
19,2,5,9
98,2,1,88
43,2,3,33
69,4,-6,70
95,3,3,94
58,1,-4,68
17,4,4,18
7,4,-5,8
67,4,-4,68
16,2,5,6
53,3,-3,52
39,4,-5,40
69,4,-6,70
45,3,8,44
82,2,9,72
26,1,6,36
92,4,5,93
42,3,2,41
29,3,-7,28
17,2,-3,7
67,1,5,77
87,3,2,86
79,1,2,89
73,2,7,63
43,2,3,33
64,1,0,74
93,3,1,92
33,4,-6,34
28,4,-9,29
76,2,-3,66
25,4,-7,26
88,2,-1,78
25,1,3,35
58,4,1,59
8,1,4,18
94,3,5,93
60,2,6,50
49,4,6,50
12,2,-5,2
17,2,-3,7
14,3,-1,13
21,2,-8,11
37,4,3,38
16,3,-2,15
12,4,-1,13
18,2,-5,8
66,2,0,56
31,4,-8,32
48,3,1,47
76,2,-3,66
24,4,5,25
83,1,5,93
4,1,3,14
47,4,-4,48
8,4,5,9
93,3,1,92
59,1,3,69
29,4,-10,30
62,4,7,63
34,1,8,44
93,3,1,92
57,1,8,67
40,2,-10,30
87,3,2,86
46,4,1,47
78,3,5,77
62,4,7,63
6,1,-7,16
43,4,8,44
35,1,0,45
67,3,-3,66
88,2,-1,78
5,4,5,6
65,1,8,75
17,2,-3,7
5,3,0,4
78,3,5,77
15,1,5,25
38,3,-1,37
71,4,9,72
2,1,-1,12
55,2,0,45
33,3,-8,32
56,4,7,57
8,3,-3,7
48,3,1,47
76,3,8,75
55,2,0,45
72,1,4,82
72,2,7,62
97,2,-2,87
67,1,5,77
93,3,1,92
68,3,8,67
80,1,-3,90
95,2,-8,85
33,2,4,23
23,4,-7,24
25,3,-7,24
68,3,8,67
42,2,-8,32
82,2,9,72
77,2,8,67
30,1,-5,40
72,4,2,73
73,4,0,74
8,3,-3,7
36,4,-1,37
11,2,6,1
30,1,-5,40
7,1,-4,17
81,1,-2,91
63,1,2,73
12,4,-1,13
11,2,6,1
87,4,1,88
60,1,-6,70
61,2,7,51
49,3,-4,48
76,4,5,77
58,3,7,57
47,4,-4,48
26,1,6,36
77,3,-5,76
12,1,-8,22
33,1,5,43
32,2,-8,22
58,3,7,57
58,3,7,57
19,4,5,20
40,1,6,50
69,4,-6,70
54,2,8,44
40,1,6,50
38,1,-4,48
38,3,-1,37
29,4,-10,30
68,2,1,58
22,4,4,23
85,4,2,86
83,4,-8,84
83,2,2,73
89,2,5,79
74,4,8,75
47,1,7,57
58,4,1,59
6,4,-3,7
45,1,1,55
93,4,3,94
6,3,8,5
26,4,-7,27
55,1,-10,65
52,3,7,51
75,1,-8,85
77,2,8,67
56,1,-3,66
15,2,8,5
24,4,5,25
67,4,-4,68
10,3,5,9
64,3,7,63
67,4,-4,68
30,2,5,20
39,1,-8,49
55,4,0,56
34,1,8,44
93,4,3,94
61,4,7,62
39,4,-5,40
1,1,-8,11
73,2,7,63
72,3,-8,71
15,1,5,25
95,4,-1,96
77,3,-5,76
32,4,3,33
94,2,-8,84
47,4,-4,48
92,3,-2,91
7,3,5,6
12,1,-8,22
28,2,4,18
47,3,2,46
44,2,-6,34
24,3,4,23
97,3,-1,96
68,3,8,67
56,2,2,46
69,4,-6,70
68,4,3,69
3,4,0,4
36,1,2,46
28,2,4,18
59,2,-8,49
79,4,-9,80
78,2,-4,68
33,4,-6,34
19,2,5,9
1,4,-5,2
39,1,-8,49
15,3,3,14
84,4,-8,85
93,2,-1,83
33,3,-8,32
81,1,-2,91
49,4,6,50
59,2,-8,49
82,3,-8,81
81,1,-2,91
20,3,5,19
66,4,8,67
19,2,5,9
74,3,2,73
36,2,-7,26
9,3,-5,8
57,3,0,56
77,3,-5,76
93,3,1,92
56,3,1,55
23,2,-1,13
64,4,-10,65
28,4,-9,29
36,3,3,35
22,4,4,23
28,2,4,18
62,4,7,63
70,2,6,60
90,2,-9,80
23,1,3,33
31,1,2,41
4,1,3,14
92,3,-2,91
80,1,-3,90
59,3,1,58
47,3,2,46
16,4,-4,17
27,3,-7,26
85,2,8,75
35,4,6,36
47,1,7,57
59,1,3,69
69,3,-4,68
98,3,3,97
62,1,9,72
9,1,5,19
28,2,4,18
35,2,5,25
64,2,8,54
87,3,2,86
68,1,-1,78
99,3,3,98
81,1,-2,91
21,2,-8,11
67,2,7,57
58,4,1,59
57,1,8,67
2,4,-10,3
55,1,-10,65
65,4,-3,66
44,1,8,54
31,2,1,21
49,2,9,39
21,4,-8,22
85,1,-4,95
38,4,9,39
25,2,-2,15
76,1,2,86
82,2,9,72
42,3,2,41
25,4,-7,26
27,1,-1,37
71,2,1,61
64,1,0,74
16,4,-4,17
73,4,0,74
61,2,7,51
36,3,3,35
25,3,-7,24
52,2,4,42
1,4,-5,2
61,2,7,51
85,2,8,75
2,4,-10,3
49,4,6,50
87,1,3,97
50,2,-5,40
28,3,-7,27
24,3,4,23
19,4,5,20
39,3,3,38
65,2,1,55
59,1,3,69
48,2,3,38
82,2,9,72
56,2,2,46
15,3,3,14
65,1,8,75
41,1,7,51
82,3,-8,81
74,3,2,73
71,2,1,61
6,3,8,5
53,4,8,54
92,3,-2,91
74,4,8,75
28,4,-9,29
77,4,-1,78
13,3,-1,12
85,4,2,86
80,3,5,79
25,4,-7,26
14,1,-7,24
14,2,0,4
61,1,-8,71
23,1,3,33
11,1,1,21
22,3,1,21
11,1,1,21
76,2,-3,66
89,2,5,79
18,1,-7,28
6,4,-3,7
5,1,-2,15
53,4,8,54
50,2,-5,40
89,1,5,99
58,2,-4,48
78,1,1,88
57,1,8,67
10,1,5,20
46,3,0,45
18,1,-7,28
74,1,-8,84
86,3,-8,85
39,3,3,38
100,3,5,99
32,1,4,42
13,3,-1,12
88,2,-1,78
56,4,7,57
39,1,-8,49
31,4,-8,32
48,1,1,58
5,1,-2,15
51,1,1,61
10,3,5,9
88,1,3,98
100,3,5,99
16,3,-2,15
89,3,1,88
57,1,8,67
73,3,9,72
98,2,1,88
45,2,3,35
69,2,1,59
71,2,1,61
27,1,-1,37
39,2,-9,29
57,1,8,67
33,4,-6,34
98,2,1,88
88,4,2,89
35,1,0,45
78,2,-4,68
83,3,4,82
15,2,8,5
6,1,-7,16
28,4,-9,29
31,2,1,21
38,2,-7,28
48,1,1,58
81,4,4,82
86,4,-2,87
18,3,-4,17
32,4,3,33
41,2,6,31
64,4,-10,65
25,2,-2,15
83,3,4,82
34,3,3,33
24,4,5,25
8,1,4,18
72,2,7,62
58,1,-4,68
87,1,3,97
27,4,-7,28
91,4,1,92
95,3,3,94
63,4,-10,64
7,1,-4,17
33,4,-6,34
65,2,1,55
44,4,0,45
46,4,1,47
100,3,5,99
6,3,8,5
44,3,5,43
56,3,1,55
31,4,-8,32
32,1,4,42
16,2,5,6
35,1,0,45
34,3,3,33
25,1,3,35
88,2,-1,78
97,4,3,98
21,4,-8,22
21,2,-8,11
76,4,5,77
1,1,-8,11
77,2,8,67
57,3,0,56
3,3,-5,2
9,4,-9,10
41,4,4,42
33,1,5,43
1,1,-8,11
85,2,8,75
86,1,-1,96
87,2,5,77
50,1,6,60
32,2,-8,22
62,1,9,72
6,3,8,5
75,1,-8,85
31,4,-8,32
76,1,2,86
89,3,1,88
80,2,-6,70
24,1,-6,34
64,3,7,63
93,2,-1,83
25,3,-7,24
93,4,3,94
2,4,-10,3
84,3,-1,83
63,1,2,73
63,2,8,53
37,1,1,47
26,2,-7,16
75,1,-8,85
34,1,8,44
32,1,4,42
76,3,8,75
1,4,-5,2
27,3,-7,26
17,3,-7,16
57,4,1,58
55,3,8,54
57,1,8,67
79,1,2,89
55,1,-10,65
66,4,8,67
85,1,-4,95
80,3,5,79
43,2,3,33
94,4,-4,95
20,2,-9,10
55,3,8,54
82,2,9,72
86,4,-2,87
90,1,-6,100
48,4,-8,49
66,2,0,56
68,3,8,67
56,4,7,57
98,2,1,88
67,1,5,77
98,3,3,97
43,3,4,42
99,4,-6,100
45,1,1,55
25,4,-7,26
17,2,-3,7
29,2,5,19
30,3,-9,29
82,3,-8,81
11,4,-1,12
68,3,8,67
84,4,-8,85
28,3,-7,27
38,2,-7,28
59,2,-8,49
63,3,7,62
79,1,2,89
49,4,6,50
10,1,5,20
57,1,8,67
71,4,9,72
77,4,-1,78
57,1,8,67
21,4,-8,22
64,1,0,74
40,2,-10,30
47,4,-4,48
85,4,2,86
3,4,0,4
3,4,0,4
41,2,6,31
48,4,-8,49
41,1,7,51
57,4,1,58
5,1,-2,15
30,1,-5,40
65,2,1,55
71,4,9,72
11,4,-1,12
49,4,6,50
46,1,0,56
70,3,3,69
97,3,-1,96
31,4,-8,32
67,1,5,77
53,4,8,54
52,3,7,51
87,4,1,88
95,4,-1,96
20,3,5,19
75,3,0,74
88,2,-1,78
2,1,-1,12
39,3,3,38
70,1,-9,80
92,3,-2,91
65,2,1,55
33,3,-8,32
72,3,-8,71
27,4,-7,28
77,2,8,67
58,2,-4,48
38,1,-4,48
36,2,-7,26
9,4,-9,10
38,4,9,39
16,2,5,6
94,4,-4,95
80,2,-6,70
67,2,7,57
97,3,-1,96
50,1,6,60
49,3,-4,48
19,1,-9,29
58,1,-4,68
9,4,-9,10
34,1,8,44
17,4,4,18
78,4,5,79
67,1,5,77
60,3,1,59
98,4,5,99
87,2,5,77
91,2,-8,81
66,2,0,56
73,3,9,72
67,3,-3,66
92,4,5,93
18,2,-5,8
70,3,3,69
43,2,3,33
67,3,-3,66
67,4,-4,68
75,3,0,74
21,2,-8,11
94,3,5,93
22,1,-8,32
5,1,-2,15
35,2,5,25
61,1,-8,71
87,4,1,88
11,4,-1,12
58,1,-4,68
11,2,6,1
69,1,5,79
60,2,6,50
2,3,6,1
25,3,-7,24
8,3,-3,7
16,2,5,6
82,4,-1,83
86,4,-2,87
70,2,6,60
66,1,-5,76
35,4,6,36
31,2,1,21
11,1,1,21
91,2,-8,81
35,4,6,36
77,3,-5,76
84,3,-1,83
29,2,5,19
98,3,3,97
89,1,5,99
56,3,1,55
94,2,-8,84
64,1,0,74
2,3,6,1
43,4,8,44
53,2,5,43
47,3,2,46
81,2,-8,71
35,2,5,25
40,2,-10,30
17,4,4,18
69,3,-4,68
84,1,3,94
73,4,0,74
58,4,1,59
67,1,5,77
86,4,-2,87
92,3,-2,91
92,3,-2,91
6,4,-3,7
96,4,3,97
25,2,-2,15
70,3,3,69
58,3,7,57
98,3,3,97
58,4,1,59
40,2,-10,30
53,1,7,63
97,3,-1,96
22,2,-1,12
60,1,-6,70
85,4,2,86
58,1,-4,68
86,1,-1,96
42,3,2,41
67,4,-4,68
32,4,3,33
83,3,4,82
23,4,-7,24
77,4,-1,78
93,4,3,94
94,4,-4,95
74,4,8,75
16,2,5,6
99,3,3,98
99,2,2,89
23,1,3,33
63,1,2,73
99,4,-6,100
29,2,5,19
32,4,3,33
28,1,3,38
24,1,-6,34
48,4,-8,49
14,3,-1,13
67,4,-4,68
86,3,-8,85
28,4,-9,29
26,3,5,25
38,1,-4,48
33,2,4,23
66,2,0,56
12,3,-8,11
69,1,5,79
76,1,2,86
54,2,8,44
67,1,5,77
6,1,-7,16
88,2,-1,78
13,2,-10,3
7,4,-5,8
78,2,-4,68
56,1,-3,66
95,4,-1,96
41,4,4,42
94,4,-4,95
94,3,5,93
80,1,-3,90
86,1,-1,96
88,3,-2,87
47,4,-4,48
76,1,2,86
55,3,8,54
20,2,-9,10
81,4,4,82
74,1,-8,84
66,4,8,67
21,2,-8,11
77,4,-1,78
70,1,-9,80
77,3,-5,76
17,1,-7,27
49,1,1,59
86,4,-2,87
9,4,-9,10
39,1,-8,49
55,3,8,54
63,4,-10,64
57,1,8,67
29,1,9,39
97,3,-1,96
8,3,-3,7
63,3,7,62
25,3,-7,24
2,3,6,1
31,2,1,21
86,1,-1,96
32,2,-8,22
63,4,-10,64
40,2,-10,30
56,1,-3,66
87,1,3,97
18,4,5,19
18,2,-5,8
29,3,-7,28
70,3,3,69
87,1,3,97
69,3,-4,68
63,1,2,73
24,2,3,14
62,3,1,61
24,4,5,25
10,3,5,9
27,4,-7,28
90,2,-9,80
